slug,productName,primaryProductId,primaryProductName,go4cardProductId,go4cardProductName,confidence
"1star-chat","1Star Chat","463","1Star Chat","452","1star chat","1"
"4fun","4Fun","47","4Fun","73","4Fun","1"
"allo","Allo","76","Allo","152","Allo","1"
"amo-chat","Amo Chat","385","Amo Chat","180","Amo Chat","1"
"asha-live","Asha Live","386","Asha Live","174","Asha Live","1"
"ayome","Ayome","74","Ayome","66","Ayome","1"
"azal","Azal","58","Azal","88","Azal","1"
"baat-live","Baat Live","781","Baat Live","616","baat live","1"
"beela","Beela","52","Beela","870","beela","1"
"boli","Boli","583","Boli","617","boli","1"
"carni-live","Carni Live","449","Carni Live","96","Carni live","1"
"chillchat","ChillChat","687","ChillChat","542","chillchat","1"
"dika-live","Dika Live","768","Dika Live","396","dika live","1"
"fofo-chat","Fofo Chat","411","Fofo Chat","181","Fofo Chat","1"
"fomi-party","FOMI PARTY","767","FOMI PARTY","161","fomi party","1"
"fun-up","Fun Up","514","Fun Up","624","fun up","1"
"gamet-live","Gamet Live","440","Gamet Live","201","Gamet Live","1"
"gimme","Gimme","41","Gimme","83","Gimme","1"
"hago","Hago","472","Hago","521","hago","1"
"halo-star","Halo star","587","Halo star","563","halo star","1"
"hami-party","Hami Party","380","Hami Party","163","Hami Party","1"
"hart-live","Hart live","654","Hart live","397","hart live","1"
"hati","Hati","588","Hati","611","hati","1"
"hayuki","Hayuki","492","Hayuki","560","hayuki","1"
"hi-party","Hi Party","381","Hi Party","159","Hi Party","1"
"higo-chat","Higo Chat","378","Higo Chat","189","Higo Chat","1"
"honey-jar","Honey Jar","66","Honey Jar","84","Honey Jar","1"
"hopi-star","Hopi Star","678","Hopi Star","270","hopi star","1"
"infun","Infun","680","Infun","549","infun","1"
"junko","junko","403","junko","63","Junko","1"
"karak-chat","KARAK CHAT","766","KARAK CHAT","399","karak chat","1"
"kwai","Kwai","56","Kwai","128","Kwai","1"
"laki-chat","Laki Chat","489","Laki Chat","562","laki chat","1"
"layla","Layla","29","Layla","155","Layla","1"
"light-chat","Light Chat","78","Light Chat","111","Light Chat","1"
"likee","Likee","11","Likee","47","Likee","1"
"matemet","MateMet","686","MateMet","540","MateMet","1"
"moli-star","Moli Star","479","Moli Star","76","Moli Star","1"
"nahki","Nahki","581","Nahki","573","nahki","1"
"nawa-live","Nawa Live","446","Nawa Live","188","Nawa Live","1"
"olamet","Olamet","60","Olamet","184","Olamet","1"
"party-star","Party Star","18","Party Star","58","Party Star","1"
"pawa-live","Pawa Live","435","Pawa Live","194","pawa live","1"
"perfect-money","Perfect Money","238","Perfect Money","236","Perfect Money","1"
"pk-star","PK Star","619","PK Star","148","PK star","1"
"poppo-live","Poppo Live","17","Poppo Live","61","Poppo live","1"
"pota-live","Pota live","511","Pota live","112","pota live","1"
"psn-uae","PSN UAE 100$","284","PSN UAE 100$","679","psn uae 100$","1"
"psn-uae","PSN UAE 50$","283","PSN UAE 50$","678","psn uae 50$","1"
"psn-uae","PSN UAE 20$","282","PSN UAE 20$","677","psn uae 20$","1"
"psn-uae","PSN UAE 10$","281","PSN UAE 10$","676","psn uae 10$","1"
"psn-usa","PSN USA 50$","275","PSN USA 50$","680","psn usa 50$","1"
"psn-usa","PSN USA 25$","274","PSN USA 25$","149","PSN USA 25$","1"
"psn-usa","PSN USA 10$","273","PSN USA 10$","147","PSN USA 10$","1"
"sama-chat","Sama Chat","432","Sama Chat","186","Sama Chat","1"
"sawalfna","Sawalfna","484","Sawalfna","467","sawalfna","1"
"soul-star","Soul Star","379","Soul Star","179","soul Star","1"
"soyo","Soyo","49","Soyo","137","Soyo","1"
"steam-usa","STEAM USA 20","634","STEAM USA 20","655","steam usa 20$","1"
"steam-usa","STEAM USA 10","633","STEAM USA 10","653","steam usa 10$","1"
"sugo","Sugo","27","Sugo","65","Sugo","1"
